"id","name","weak_foot","skill_moves","ball_control","dribbling","marking","sliding_tackle","standing_tackle","aggression","reactions","att_positions","interceptions","crossing","short_pass","long_pass","shot_power","finishing","long_shots","curve","freekick_accuracy","volleys"
32,"Gianluigi Buffon",2,1,28,26,10,11,11,38,80,12,28,13,37,35,39,15,13,20,13,17
33,"Iniesta",4,4,93,90,57,56,57,58,88,85,68,79,92,86,65,73,74,80,70,74
34,"Jan Oblak",3,1,16,12,14,18,12,34,84,11,19,13,29,26,22,11,12,13,14,13
35,"James Rodríguez",3,4,85,84,25,30,42,65,84,80,55,88,84,80,86,82,91,87,86,91
36,"Pierre-Emerick Aubameyang",4,3,82,82,28,36,25,45,87,89,48,77,77,64,81,88,79,78,74,86
37,"Leonardo Bonucci",3,2,75,68,84,88,88,82,84,38,90,44,75,83,74,37,65,56,61,55
38,"Arturo Vidal",4,3,83,76,76,84,89,91,89,80,89,76,84,82,84,77,85,76,68,78
39,"Ivan Rakitic",3,3,87,84,52,53,65,67,79,80,69,81,87,92,84,83,88,88,84,80
40,"David Silva",2,4,90,85,23,29,42,51,84,81,41,85,91,78,71,70,74,83,77,80
41,"Samir Handanovic",2,1,24,18,17,13,10,25,83,12,22,12,36,34,22,10,19,12,14,12
42,"Piqué",3,2,78,59,86,86,87,72,84,58,88,57,81,80,62,64,51,58,43,57
43,"Arjen Robben",2,4,89,91,29,26,26,47,87,85,39,80,84,71,86,84,88,86,83,86
44,"Paulo Dybala",3,4,91,91,14,20,20,48,85,85,24,78,83,67,82,88,88,88,82,88
45,"Marco Verratti",4,4,87,88,76,79,82,89,87,71,83,72,90,87,66,52,58,73,64,64
46,"David Alaba",4,3,83,79,81,83,83,69,84,77,85,82,83,80,83,63,83,78,83,68
47,"Henrikh Mkhitaryan",5,4,89,87,49,55,53,69,83,83,68,80,85,73,87,77,75,83,64,81
48,"Bernd Leno",4,1,22,16,8,18,15,28,81,7,22,9,37,33,23,9,14,9,8,10
49,"Thomas Müller",4,3,82,75,31,44,41,57,92,93,58,74,81,68,77,87,80,81,59,83
50,"Sergio Busquets",3,3,80,74,81,80,85,85,82,77,86,62,88,79,61,60,54,66,68,44
51,"Thiago",3,5,91,90,49,62,64,57,84,83,74,72,90,86,75,69,82,83,77,90
52,"Jordi Alba",3,3,84,80,81,83,84,75,82,77,83,83,79,70,64,73,66,77,64,60
53,"Coutinho",4,4,88,88,24,40,44,55,81,83,30,77,85,78,79,73,85,84,79,75
54,"Ángel Di María",2,5,87,87,37,56,59,76,80,82,38,88,83,82,87,74,79,83,72,77
55,"Diego Costa",4,3,83,79,28,34,39,93,85,88,40,65,67,52,84,89,72,62,59,82
56,"Edinson Cavani",3,3,80,80,24,27,45,82,85,89,48,70,75,50,85,85,78,75,74,84
57,"Radja Nainggolan",3,3,85,80,78,88,85,88,87,88,86,73,84,81,84,76,86,73,68,75
58,"Marcelo",4,4,87,83,80,87,84,84,85,75,83,87,81,76,83,67,66,80,67,54
59,"Claudio Marchisio",4,4,85,84,72,78,78,78,86,82,82,76,87,85,82,65,82,78,78,76
60,"Miranda",3,2,67,62,89,89,90,83,82,43,88,48,65,65,70,43,41,32,39,51
61,"Karim Benzema",4,4,86,82,13,12,15,65,83,87,22,75,86,47,83,87,77,79,73,79
62,"Cesc Fàbregas",3,3,86,80,60,62,63,45,81,78,50,85,91,90,77,76,75,77,81,81
63,"Franck Ribéry",4,5,90,90,13,26,25,52,86,81,36,81,86,75,76,76,73,83,81,80
64,"Santi Cazorla",5,4,87,86,58,52,64,64,85,82,64,85,86,84,78,77,82,86,78,72
65,"Andrea Barzagli",3,2,65,60,90,90,90,74,82,28,92,40,65,65,54,27,39,50,31,35
66,"Harry Kane",3,3,82,77,41,38,36,74,85,86,35,70,75,67,86,88,80,71,66,70
67,"Alexandre Lacazette",4,4,84,85,23,30,42,70,85,87,40,70,80,68,81,87,74,74,78,82
68,"Keylor Navas",3,1,19,16,12,14,14,32,82,16,20,11,30,37,21,15,13,11,15,11
69,"Romelu Lukaku",4,3,79,76,27,30,30,72,77,85,27,68,71,68,88,87,76,64,66,76
70,"Christian Eriksen",5,4,86,84,38,22,56,44,82,81,45,84,87,83,78,75,80,85,87,69
71,"Ilkay Gündogan",4,4,88,87,57,64,64,68,87,77,79,74,90,83,77,69,74,81,74,75
72,"Toby Alderweireld",3,2,70,61,86,83,88,79,84,56,86,64,77,81,86,45,66,63,69,38
73,"Willian",4,4,86,87,43,51,62,44,81,78,55,75,82,77,71,75,80,80,85,59
74,"Miralem Pjanic",4,4,89,86,60,64,64,62,84,76,68,80,89,85,79,70,84,86,91,71
75,"Juan Mata",3,3,88,83,25,21,28,52,85,84,39,83,86,77,75,80,70,84,84,71
76,"Javi Martinez",3,2,71,62,82,87,86,87,83,57,85,60,77,76,76,55,63,61,45,61
77,"Dimitri Payet",4,4,90,89,29,39,36,57,76,79,37,86,86,84,78,76,83,90,91,79
78,"Dries Mertens",4,4,88,88,30,40,40,59,80,81,36,77,80,74,80,77,81,80,77,70
79,"Sokratis",3,2,58,58,87,86,89,90,81,50,80,47,64,64,79,44,44,37,35,46
80,"Marek Hamšik",4,3,86,83,60,62,71,56,86,84,70,78,87,81,79,78,82,80,72,79
81,"Blaise Matuidi",2,2,77,73,83,81,85,85,84,68,85,75,84,79,74,65,66,65,52,72
82,"Stéphane Ruffier",3,1,15,12,11,11,12,31,77,12,25,11,33,34,21,11,11,17,12,13
83,"Laurent Koscielny",3,2,67,62,83,86,87,90,82,31,86,54,76,69,54,32,47,22,49,35
84,"Filipe Luís",3,3,81,77,85,86,83,81,83,71,82,84,78,77,71,59,60,74,75,56
85,"Vincent Kompany",3,2,66,63,85,86,88,81,83,41,77,61,65,66,75,45,55,61,52,46
86,"Aymeric Laporte",2,2,71,55,86,85,88,72,82,54,85,58,73,78,70,45,47,62,77,40
87,"Yannick Carrasco",4,4,85,90,19,26,39,61,83,82,18,80,77,72,84,78,75,81,78,68
88,"Carvajal",3,2,83,76,85,86,85,81,81,61,82,83,81,71,64,41,36,72,47,34
89,"Riyad Mahrez",4,5,90,88,25,21,27,40,75,80,38,80,80,76,76,77,73,79,75,71
90,"Raphaël Varane",3,2,75,57,84,85,86,73,79,44,82,36,72,74,52,40,53,46,54,42
91,"Mauro Icardi",4,2,79,75,17,21,21,35,83,89,22,46,73,54,81,89,70,58,45,81
92,"Lorenzo Insigne",3,4,90,88,16,22,24,34,80,83,26,82,81,72,68,71,79,78,75,74
93,"Isco",3,4,90,89,25,49,66,58,78,83,65,72,84,82,72,79,80,86,74,64
94,"Koke",4,3,86,80,63,51,66,71,84,80,64,84,86,85,84,71,81,85,76,56
95,"Kostas Manolas",2,2,65,54,88,87,86,86,81,25,85,27,60,61,43,10,12,30,10,16
96,"Danijel Subašic",2,1,19,11,15,13,14,31,79,15,20,11,24,26,24,10,14,24,66,13
97,"Nicolás Otamendi",3,2,64,41,81,83,84,89,78,49,82,52,70,66,69,53,56,50,39,56
98,"Shkodran Mustafi",3,2,70,53,82,85,83,79,81,50,85,51,77,69,66,58,52,55,47,51
99,"Nemanja Matic",3,3,79,72,76,77,83,83,82,68,86,68,83,80,78,64,75,68,67,74
100,"Alex Sandro",3,3,81,82,76,82,82,70,80,72,82,86,79,69,78,57,72,78,59,68
101,"Kamil Glik",2,2,59,51,86,82,86,86,76,24,87,29,59,59,57,11,20,35,26,17
102,"Douglas Costa",3,5,84,87,41,44,58,55,79,78,43,79,80,72,88,72,84,81,78,73
103,"Kevin Strootman",3,3,85,76,72,75,83,86,84,78,84,74,86,83,85,68,78,75,74,63
104,"Nicolás Gaitán",2,4,85,86,30,43,42,57,84,79,40,83,82,78,72,73,74,88,72,81
105,"Bruno",3,3,83,75,70,85,84,79,84,69,85,60,87,86,84,66,81,72,77,48
106,"Ivan Perišic",5,4,83,84,26,45,45,59,80,84,42,84,81,73,83,78,80,73,76,80
107,"David Luiz",3,3,79,66,80,84,85,84,79,54,82,68,79,78,77,56,71,70,76,67
108,"Sami Khedira",4,2,81,78,76,78,86,82,86,80,86,72,85,81,84,70,80,68,68,76
109,"Benedikt Höwedes",3,2,70,60,85,84,84,79,82,51,85,58,74,64,62,48,31,38,52,38
110,"Ralf Fährmann",2,1,24,15,12,10,12,36,84,11,23,14,25,26,24,11,9,18,11,11
111,"Sergio Asenjo",3,1,14,15,12,14,15,20,79,12,22,24,39,39,24,14,23,23,22,22
112,"Éver Banega",4,4,87,85,57,61,69,69,82,75,70,80,88,85,74,65,77,83,81,65
113,"Medhi Benatia",3,2,65,64,86,84,86,84,78,39,80,45,65,65,59,49,24,34,27,31
114,"Steve Mandanda",3,1,17,15,10,13,15,37,81,11,23,14,37,28,24,13,11,13,12,13
115,"Dani Alves",3,3,85,84,72,84,80,78,82,72,82,84,81,77,86,60,78,78,74,68
116,"Arda Turan",4,4,88,87,54,65,63,80,81,82,61,82,85,81,73,72,77,81,64,80
117,"Javier Mascherano",3,2,80,58,82,83,84,88,83,51,90,63,79,75,76,42,55,63,50,51
118,"Aduriz",3,3,80,79,46,49,44,82,85,86,23,54,71,52,83,85,80,61,54,84
119,"Yaya Touré",4,3,82,79,66,75,76,78,82,80,60,67,86,83,86,82,85,80,85,68
120,"Eric Bailly",3,2,63,59,83,86,85,86,75,44,85,41,72,56,55,33,48,46,43,36
121,"José María Giménez",3,2,56,47,85,87,86,89,76,24,85,47,68,58,72,37,48,36,44,30
122,"NGolo Kanté",3,3,79,76,75,85,89,90,85,69,91,67,84,79,72,65,66,49,49,56
123,"Gerónimo Rulli",3,1,15,15,16,17,13,26,77,12,21,12,32,23,24,15,17,19,20,16
124,"João Mário",4,3,85,84,67,61,75,61,82,80,78,77,83,78,77,72,73,74,67,69
125,"André Gomes",4,3,83,84,65,64,77,81,82,77,76,61,85,84,80,68,73,82,68,63
126,"Marquinhos",3,2,76,65,85,86,85,80,81,46,84,72,77,73,53,33,35,49,32,31
127,"Carlos Bacca",2,3,80,80,12,14,16,68,82,87,34,60,72,50,78,88,70,72,58,82
128,"William Carvalho",4,3,78,79,77,71,85,75,74,64,84,58,83,86,63,55,63,66,50,57
129,"Karim Bellarabi",3,4,84,87,28,33,30,59,81,80,38,78,81,62,85,75,78,70,58,72
130,"Raheem Sterling",2,4,84,86,48,54,58,34,79,81,26,72,81,67,68,73,70,64,49,59
131,"Julian Draxler",5,4,85,87,25,26,35,48,81,79,36,78,83,72,84,75,81,78,72,84
132,"Roberto Firmino",4,4,83,87,30,42,64,64,81,84,37,72,83,76,79,82,80,80,67,78
133,"Marcos Rojo",2,3,71,69,79,83,83,89,79,59,80,75,72,73,79,52,63,67,57,49
134,"Kalidou Koulibaly",2,2,57,54,85,84,86,86,79,24,81,30,57,48,55,19,15,28,28,14
135,"Danilo Pereira",3,2,77,77,80,78,85,89,77,68,85,50,81,79,77,56,64,48,53,56
136,"Timo Horn",4,1,22,20,11,12,13,41,80,15,22,19,35,32,22,13,17,12,15,14
137,"Casemiro",3,2,77,69,79,85,86,87,78,66,84,52,80,82,86,59,75,59,74,53
138,"Vitolo",4,3,85,86,25,23,21,61,80,80,25,80,81,82,77,79,73,76,62,75
139,"Anthony Lopes",2,1,21,15,13,13,15,35,85,17,25,19,32,31,20,18,18,15,14,13
140,"Mattia Perin",3,1,23,19,14,19,12,25,79,12,19,11,33,31,23,11,17,15,13,19
141,"Joel Matip",2,2,71,68,85,78,84,81,81,51,84,54,77,77,66,36,48,63,22,50
142,"Juan Cuadrado",3,5,85,90,52,62,52,70,78,78,58,78,77,73,84,71,80,76,69,73
143,"Iago Aspas",3,3,84,85,20,18,21,63,86,85,36,69,80,67,79,84,82,83,76,86
144,"Marc-André ter Stegen",4,1,18,17,10,10,13,43,80,11,22,15,30,38,22,13,10,18,12,14
145,"Mario Götze",4,4,90,88,16,23,43,48,84,82,66,77,85,79,68,74,66,80,73,87
146,"Ander Herrera",4,4,85,81,66,68,72,85,85,79,82,74,86,80,72,71,74,78,65,67
147,"Javier Pastore",4,4,87,88,49,51,59,65,83,78,69,77,87,83,78,73,76,83,69,78
148,"Chris Smalling",3,2,61,59,81,81,84,82,83,48,82,52,66,63,42,50,35,49,22,54
149,"Pedro",5,4,85,84,30,31,32,56,83,84,49,78,83,70,71,81,73,81,57,70
150,"Giacomo Bonaventura",3,3,84,84,58,68,73,66,83,79,73,82,83,81,84,75,85,78,78,78
151,"Roman Bürki",2,1,23,16,14,16,13,35,80,10,18,15,37,24,22,8,14,13,12,13
152,"Oscar",3,4,84,82,37,47,50,31,81,81,34,70,83,80,76,75,77,77,77,63
153,"Steven NZonzi",3,3,82,72,75,78,83,87,82,70,85,59,82,78,79,64,66,73,42,55
154,"Aaron Ramsey",3,3,84,81,62,67,72,74,82,83,72,75,85,80,81,73,75,70,70,79
155,"Mateo Musacchio",3,2,73,43,85,86,84,81,81,50,85,55,78,70,57,48,53,53,45,36
156,"Ömer Toprak",5,2,72,64,86,82,85,73,81,35,84,49,74,69,63,28,36,44,33,55
157,"José Callejón",2,3,84,82,24,32,32,54,80,88,40,77,75,51,78,76,80,65,65,84
158,"Adrien Silva",4,3,85,82,80,73,78,79,77,75,84,78,83,84,83,71,81,77,78,78
159,"Azpilicueta",3,3,77,70,87,87,88,76,88,64,85,79,80,74,68,46,60,66,58,54
160,"Sebastian Giovinco",4,4,87,86,23,28,23,73,81,83,26,72,78,70,78,81,80,86,86,70
161,"Anthony Modeste",3,3,78,73,25,19,31,83,84,85,26,62,70,55,81,86,72,66,56,87
162,"Mario Mandžukic",3,2,77,73,48,48,56,88,86,89,56,64,71,45,78,84,58,56,45,86
163,"Adam Lallana",5,4,86,85,60,62,68,74,78,77,68,74,86,78,72,79,72,77,66,72
164,"Olivier Giroud",3,2,82,72,26,20,37,76,83,84,41,63,77,56,84,84,76,70,65,82
165,"Rui Patrício",2,1,23,20,13,11,13,39,80,13,22,12,31,30,38,12,11,10,16,17
166,"Yann Sommer",4,1,25,15,11,12,19,38,80,15,21,13,40,31,23,13,12,12,13,8
167,"Jonas",5,3,88,84,23,25,36,61,83,86,34,70,75,71,80,86,84,85,77,85
168,"Kévin Gameiro",3,3,80,76,23,39,33,66,85,86,38,70,79,72,84,86,76,76,70,78
169,"Claudio Bravo",3,1,15,13,11,19,18,40,77,15,23,12,32,31,22,13,21,25,60,11
170,"Lukasz Piszczek",3,2,76,74,79,83,84,83,82,73,81,85,78,69,77,65,68,76,47,67
171,"Jan Vertonghen",3,2,74,70,81,81,85,83,81,63,83,68,78,74,86,60,68,58,73,52
172,"Asmir Begovic",2,1,24,16,13,12,11,42,79,11,21,14,26,32,28,12,12,17,15,12
173,"Naldo",4,2,68,60,82,85,86,73,82,53,84,45,73,70,92,57,82,52,76,60
174,"Daniel Sturridge",2,4,81,82,15,12,24,60,81,84,22,62,75,62,83,84,83,62,68,76
175,"José Fonte",3,2,64,59,84,82,85,84,85,40,85,36,63,54,29,40,29,33,32,34
176,"Ezequiel Garay",3,2,73,62,84,82,85,74,77,49,84,62,69,72,80,58,68,55,74,49
177,"Samir Nasri",5,4,87,85,35,44,37,33,77,79,37,80,86,76,74,77,80,77,79,72
178,"Gary Cahill",3,2,63,58,83,84,85,78,84,45,83,28,65,61,63,56,66,48,27,47
179,"Ashley Williams",4,2,69,57,81,80,85,83,81,28,83,32,72,74,64,37,40,34,23,34
180,"Leighton Baines",3,3,79,78,81,82,82,74,80,75,80,88,81,74,84,70,75,81,82,63
181,"Kasper Schmeichel",3,1,24,12,14,13,14,33,78,14,20,18,21,18,36,12,14,13,15,15
182,"Borja Valero",4,4,88,86,58,62,66,52,84,76,70,78,89,86,72,67,70,78,76,70
183,"Hatem Ben Arfa",4,5,86,91,33,23,43,67,75,74,40,77,79,78,83,79,81,80,75,75
184,"Joe Hart",3,1,20,23,14,13,14,28,77,14,25,14,32,35,65,14,19,17,13,19
185,"Juanfran",3,3,79,77,83,80,84,78,82,68,78,83,75,66,68,54,53,80,59,49
186,"Wesley Sneijder",5,3,85,83,32,37,41,65,76,74,45,83,86,83,87,72,84,88,85,80
187,"Nani",4,5,86,87,15,20,22,62,80,77,31,82,81,79,85,75,83,86,79,75
188,"Stephan Lichtsteiner",3,2,75,76,78,82,82,84,80,68,82,82,77,71,74,50,70,68,66,62
189,"Wayne Rooney",4,3,80,77,48,37,54,81,83,85,54,78,79,85,86,84,84,84,81,85
190,"Daniele De Rossi",4,2,78,64,75,82,84,84,80,55,87,57,82,82,81,50,74,62,71,74
191,"José Reina",3,1,23,10,12,24,22,32,82,13,22,11,19,22,24,14,15,11,11,11
192,"Quaresma",4,5,87,89,10,13,17,62,78,75,24,88,79,75,83,70,83,92,78,80
193,"Marco Asensio",3,4,85,82,30,41,45,45,78,72,45,80,86,81,67,75,78,84,76,76
194,"Bernardo Silva",3,4,86,86,46,35,44,58,83,78,49,76,83,78,72,76,64,77,63,65
195,"Islam Slimani",3,2,76,74,34,24,48,88,84,86,54,58,73,59,78,81,72,73,47,79
196,"Jonathan Tah",4,2,64,55,82,80,86,70,81,27,80,35,74,69,44,19,25,30,27,24
197,"Anthony Martial",4,4,84,88,35,38,39,59,81,80,42,73,75,58,84,82,72,76,54,74
198,"Dele Alli",3,3,83,80,57,57,60,84,83,84,65,65,83,73,75,79,74,67,46,71
199,"Ederson",2,1,30,21,9,8,15,27,85,16,25,20,15,25,42,14,18,12,20,18
200,"Mohamed Salah",2,4,87,87,37,41,43,63,80,83,55,71,78,63,71,78,62,59,60,69
201,"Sadio Mané",3,4,82,85,33,38,33,71,78,82,29,72,76,72,76,81,66,74,64,66
202,"Lucas Vázquez",4,3,82,81,23,37,51,65,85,81,44,84,80,76,78,77,79,82,75,54
203,"Franco Vázquez",3,3,89,88,33,37,40,80,81,74,54,73,83,74,74,77,83,82,68,79
204,"Manu Trigueros",4,4,84,81,53,58,73,68,81,77,69,69,86,82,81,71,80,78,69,63
205,"Samuel Umtiti",3,2,73,69,80,83,85,79,75,58,86,69,78,71,83,51,74,72,63,70
206,"Stefan Savic",3,2,66,47,85,84,82,83,78,29,84,35,67,69,43,34,31,34,28,27
207,"Roque Mesa",3,2,82,72,72,80,79,92,79,67,81,67,89,80,63,67,54,46,48,34
208,"Loris Karius",3,1,23,16,13,13,11,18,82,8,13,14,35,37,20,18,16,12,14,14
209,"Alessandro Florenzi",3,3,83,79,73,77,79,79,79,82,76,77,82,75,82,76,82,73,79,87
210,"Virgil van Dijk",3,2,71,69,82,81,85,76,74,41,83,53,74,76,81,55,64,60,70,45
211,"Jack Butland",3,1,26,21,16,11,13,32,73,16,27,11,36,40,29,16,13,12,14,12
212,"Morata",4,3,83,82,14,20,14,54,80,83,24,73,74,51,78,81,74,76,44,80
213,"Lucas",3,4,84,88,39,48,43,67,75,78,50,75,77,74,79,72,71,69,74,70
214,"Yevhen Konoplyanka",4,4,85,86,21,31,38,48,76,75,37,79,81,78,77,80,84,83,80,67
215,"Francesco Acerbi",3,2,67,57,86,83,86,70,83,20,84,25,70,75,75,37,60,62,56,39
216,"Nolito",3,4,83,81,30,25,39,73,84,82,58,81,77,67,74,81,80,83,80,65
217,"Granit Xhaka",4,3,80,70,71,68,75,90,83,77,76,68,85,89,88,49,85,68,70,50
218,"Stefan de Vrij",4,2,72,61,85,82,86,75,78,32,86,49,70,71,65,25,60,45,16,27
219,"Jonathan Viera",4,3,83,88,29,58,67,56,79,79,69,75,85,76,70,78,79,80,76,57
220,"Pizzi",4,4,82,83,62,52,65,68,83,85,70,75,82,80,74,78,78,85,76,77
221,"Serge Aurier",3,3,79,76,78,83,82,81,82,74,78,80,78,71,78,65,58,69,30,50
222,"Grzegorz Krychowiak",3,2,75,63,75,72,85,89,77,52,81,59,79,83,81,42,70,46,62,40
223,"Kevin Kampl",4,4,82,86,45,56,70,64,82,76,74,64,84,78,70,65,73,76,64,58
224,"Dejan Lovren",4,2,67,64,80,86,85,87,75,21,82,59,68,66,63,33,34,26,18,42
225,"Gary Medel",4,2,74,68,78,82,84,89,80,58,86,55,78,76,65,31,59,35,45,61
226,"Idrissa Gueye",3,2,79,75,78,82,84,80,81,67,85,60,80,76,80,50,67,33,43,32
227,"Víctor Ruíz",2,2,71,53,83,85,84,82,77,39,83,54,75,70,59,37,38,67,46,39
228,"Ricardo Rodríguez",3,3,80,78,78,84,81,79,82,68,82,88,80,80,78,59,72,82,84,67
229,"Xherdan Shaqiri",4,4,83,84,51,53,52,64,79,77,65,74,80,75,84,74,78,82,78,76
230,"Ciro Immobile",3,3,79,77,31,32,33,77,85,86,40,55,70,49,86,86,76,70,51,81
231,"Nathaniel Clyne",3,3,75,77,81,86,83,76,75,72,77,80,76,67,74,54,69,64,39,45
232,"Iborra",4,2,80,67,85,75,84,78,75,82,85,53,81,82,85,72,64,66,70,66
233,"Jack Wilshere",2,3,84,84,61,65,63,83,80,80,61,73,84,83,75,64,73,80,72,64
234,"Shinji Kagawa",4,4,84,87,30,27,24,30,81,80,56,60,84,73,47,76,55,74,63,75
235,"Kevin Trapp",4,1,24,10,10,10,14,30,79,12,22,13,25,12,22,13,13,14,12,12
236,"Taison",3,4,85,87,38,40,53,56,79,74,49,73,77,75,83,76,83,52,73,82
237,"Kyle Walker",2,2,75,75,79,84,81,78,77,66,75,79,74,67,86,51,68,76,71,57
238,"Marlos",3,5,88,87,45,42,49,58,77,77,51,76,81,73,76,76,78,80,71,66
239,"Luiz Gustavo",3,2,73,69,78,87,87,88,80,51,84,61,77,75,80,46,71,42,45,54
240,"Giuliano",3,4,82,84,47,38,43,71,81,79,42,74,79,75,79,78,77,68,69,66
241,"Gylfi Sigurðsson",3,3,82,78,55,57,58,57,77,80,37,82,83,77,82,81,83,86,88,75
242,"Yacine Brahimi",3,4,84,89,24,25,36,46,80,76,38,76,77,70,69,75,74,83,78,73
243,"Marko Arnautovic",4,4,85,84,47,30,57,73,73,79,46,83,79,68,78,75,71,79,74,79
244,"Jordan Henderson",3,3,80,74,73,76,80,80,79,74,79,81,85,83,75,67,71,80,74,72
245,"Orestis Karnezis",3,1,23,15,13,24,15,18,78,10,23,19,22,36,22,23,23,11,11,14
246,"Mamadou Sakho",2,2,61,50,78,81,84,85,72,32,81,60,75,66,51,23,38,50,30,20
247,"Adil Rami",3,2,64,53,81,78,84,83,75,24,84,28,66,68,83,45,58,43,55,45
248,"Fernando Néstor Muslera",2,1,23,25,17,16,16,32,78,13,23,15,44,47,25,10,10,14,10,10
249,"Vedran Corluka",3,3,73,65,83,82,83,81,77,45,77,68,70,72,64,47,53,69,60,38
250,"Edin Džeko",4,2,79,75,11,16,28,51,78,87,50,63,72,59,86,86,69,65,54,75
251,"Séamus Coleman",3,3,77,78,83,84,84,78,81,76,77,81,77,70,75,65,68,42,35,64
252,"Javier Hernández",3,3,79,76,22,25,29,59,82,88,26,62,70,55,76,87,69,67,52,79
253,"Beñat",3,2,80,73,59,65,76,79,80,78,70,81,85,86,87,69,81,83,84,61
254,"Lars Bender",3,2,75,72,76,82,85,78,82,69,87,69,79,74,74,59,71,49,47,57
255,"Axel Witsel",3,4,85,83,69,71,73,78,81,75,80,69,83,78,78,71,74,69,68,67
256,"Morgan Schneiderlin",3,2,79,75,76,80,82,84,81,67,84,65,83,79,71,64,56,68,61,56
257,"Kevin Mirallas",4,4,85,84,40,53,55,58,76,80,35,82,80,77,77,78,76,77,76,76
258,"Carlos Vela",2,4,81,82,12,14,22,57,77,80,37,78,79,63,73,79,78,80,71,84
259,"Emiliano Viviano",2,1,22,18,19,12,10,18,77,10,10,12,36,37,21,17,18,14,16,13
260,"Antonio Valencia",1,3,80,82,78,77,82,84,84,78,80,85,77,69,85,58,62,69,66,69
261,"Gonzalo Castro",4,3,82,80,72,78,70,63,84,78,78,82,84,82,77,69,78,80,74,65
262,"Falcao",4,3,81,74,16,19,42,72,82,85,41,55,67,53,78,83,76,83,71,84
263,"Diego Alves",2,1,15,14,14,15,13,44,79,13,19,24,33,33,24,20,22,24,21,25
264,"Andrea Consigli",3,1,23,10,12,19,17,11,75,10,15,10,31,27,24,10,19,15,15,19
265,"João Moutinho",4,3,82,81,68,66,72,74,81,74,73,77,83,81,77,73,82,82,79,77
266,"Moussa Dembélé",2,4,84,85,67,65,80,74,78,71,78,65,84,79,85,66,72,65,55,77
267,"Michael Krohn-Dehli",4,3,82,79,54,61,73,67,85,84,75,86,84,85,81,78,68,77,83,53
