"id","name","penalty"
258,"Carlos Vela",72
259,"Emiliano Viviano",21
260,"Antonio Valencia",55
261,"Gonzalo Castro",58
262,"Falcao",84
263,"Diego Alves",24
264,"Andrea Consigli",21
265,"João Moutinho",70
266,"Moussa Dembélé",67
267,"Michael Krohn-Dehli",76
268,"Loïc Perrin",68
269,"Lucas Biglia",72
270,"Benoît Costil",15
271,"Raúl Albiol",37
272,"Mario Gómez",74
273,"Gabi",83
274,"Diego López",21
275,"Raffael",72
276,"Alejandro Gómez",69
277,"Gonzalo Rodríguez",74
278,"Vincent Enyeama",75
279,"Kaká",84
280,"Fernandinho",61
281,"David Villa",88
282,"Victor Valdés",26
283,"Per Mertesacker",42
284,"Patrice Evra",57
285,"Xabi Alonso",80
286,"Michael Carrick",64
287,"Andrea Pirlo",84
288,"Casillas",24
289,"Ousmane Dembélé",70
290,"Corentin Tolisso",70
291,"Marcelo Brozovic",69
292,"Federico Bernardeschi",72
293,"Niklas Süle",32
294,"Domenico Berardi",80
295,"Morgan Sanson",68
296,"Samu Castillejo",59
297,"Adrien Rabiot",68
298,"Leon Goretzka",51
299,"Quincy Promes",72
300,"Andrea Belotti",77
301,"Jonas Hector",65
302,"Mateo Kovacic",59
303,"Sergio Rico",24
304,"Oleg Shatov",60
305,"Jorginho",84
306,"Florian Thauvin",57
307,"Michy Batshuayi",67
308,"Iñigo Martínez",39
309,"Suso",68
310,"Deulofeu",70
311,"Felipe Anderson",53
312,"Jasper Cillessen",21
313,"Wissam Ben Yedder",74
314,"Lucas Pérez",79
315,"Ross Barkley",65
316,"Cédric Bakambu",72
317,"Bartra",52
318,"André Schürrle",83
319,"Roberto Pereyra",72
320,"Mario Gaspar",50
321,"Fabián Orellana",75
322,"Lukáš Hrádecký",20
323,"Daley Blind",56
324,"De Marcos",55
325,"Wilfried Bony",77
326,"Iturraspe",58
327,"Parejo",83
328,"Salomón Rondón",62
329,"Daniel Carriço",62
330,"Bas Dost",77
331,"James McCarthy",60
332,"Camacho",48
333,"Paulinho",71
334,"Alan Dzagoev",65
335,"Igor Smolnikov",41
336,"Lars Stindl",69
337,"Mario Balotelli",92
338,"Wojciech Szczesny",18
339,"Nikola Kalinic",70
340,"Mikel San José",51
341,"Christian Benteke",77
342,"Marco Parolo",45
343,"Ljubomir Fejsa",56
344,"Martín Cáceres",50
345,"Georginio Wijnaldum",74
346,"Federico Fazio",33
347,"Simon Kjær",46
348,"Loïc Rémy",78
349,"Miguel Layún",75
350,"Adán",25
351,"Benoît Trémoulinas",77
352,"Sven Bender",42
353,"Mathieu Valbuena",65
354,"Bojan",71
355,"Augusto Fernández",62
356,"Antonio Candreva",86
357,"Davide Astori",27
358,"Raúl García",76
359,"Giovani dos Santos",70
360,"Erik Lamela",75
361,"Ryan Shawcross",48
362,"Danny Rose",57
363,"Renato Augusto",68
364,"Martin Škrtel",52
365,"Theo Walcott",74
366,"Bacary Sagna",59
367,"Dante",57
368,"Salomon Kalou",86
369,"André-Pierre Gignac",78
370,"Lukas Podolski",83
371,"Negredo",80
372,"Pablo Zabaleta",64
373,"Darijo Srna",84
374,"Cédric Carrasso",13
375,"Rubén Castro",76
376,"Jérémy Mathieu",60
377,"Carlos Idriss Kameni",24
378,"Moyá",11
379,"Rune Almenning Jarstein",13
380,"Jermain Defoe",71
381,"Thiago Motta",70
382,"Fernando Torres",74
383,"Júlio César",13
384,"Didier Drogba",84
385,"Danny",67
386,"John Terry",52
387,"Samuel Etoo",85
388,"Tiago",57
389,"Gelson Martins",66
390,"Leroy Sané",63
391,"Julian Weigl",50
392,"Nabil Fekir",70
393,"Jean Michaël Seri",67
394,"Williams",64
395,"Marco Sportiello",21
396,"Keita Baldé Diao",58
397,"Nikola Maksimovic",26
398,"Thomas Lemar",68
399,"Kingsley Coman",70
400,"Alisson",23
401,"Joshua Kimmich",44
402,"Julian Brandt",54
403,"Sofiane Boufal",69
404,"Bruma",71
405,"Daniele Rugani",29
406,"Raphaël Guerreiro",44
407,"Fabinho",88
408,"Jamie Vardy",76
409,"Hakim Ziyech",74
410,"Emil Forsberg",64
411,"Saúl",54
412,"Felipe",47
413,"Taras Stepanenko",52
414,"Luke Shaw",53
415,"Leo Baptistao",65
416,"Antonio Rüdiger",40
417,"Matija Nastasic",47
418,"Denis Suárez",63
419,"Kurt Zouma",61
420,"John Brooks",45
421,"Héctor Bellerín",62
422,"Thorgan Hazard",73
423,"Davy Klaassen",75
424,"Valère Germain",77
425,"Paul-Georges Ntep",70
426,"Layvin Kurzawa",62
427,"Rafinha",67
428,"Jeison Murillo",46
429,"Riccardo Saponara",67
430,"Djibril Sidibé",43
431,"Nacho Fernández",45
432,"Josip Ilicic",78
433,"Kevin Volland",72
434,"Allan",53
435,"Pablo Hernández",62
436,"Sergi Roberto",57
437,"Wilfried Zaha",66
438,"Manolo Gabbiadini",72
439,"Josuha Guilavogui",50
440,"Patrick Herrmann",61
441,"Sebastián Coates",42
442,"Oguzhan Özyakup",78
443,"Yaroslav Rakitskyi",50
444,"Phil Jones",55
445,"Adrián",44
446,"Neto",22
447,"Hugo Mallo",23
448,"Daniel Didavi",65
449,"Younès Belhanda",80
450,"Oliver Baumann",22
451,"Mário Fernandes",53
452,"Roberto Soriano",62
453,"Jesús Corona",68
454,"Maxime Gonalons",71
455,"Alphonse Areola",25
456,"Yunus Malli",81
457,"Eduardo Salvio",60
458,"Stephan El Shaarawy",72
459,"Iago Falqué",77
460,"Marwin Hitz",22
461,"Thimothée Kolodziejczak",49
462,"Francis Coquelin",52
463,"Marcel Schmelzer",46
464,"Ryad Boudebouz",87
465,"Ganso",76
466,"Fedor Smolov",74
467,"Christian Noboa",80
468,"Kwadwo Asamoah",64
469,"Ron-Robert Zieler",24
470,"Danny Welbeck",70
471,"Danny Drinkwater",53
472,"Aleksandar Kolarov",74
473,"Matteo Darmian",45
474,"Ibrahima Traoré",56
475,"Diego Perotti",82
476,"Angelo Ogbonna",39
477,"Max Kruse",86
478,"Konstantinos Mitroglou",61
479,"Nordin Amrabat",77
480,"Stevan Jovetic",80
481,"Jeremain Lens",67
482,"Branislav Ivanovic",58
483,"Eder",78
484,"Kiko Casilla",23
485,"Nacho Monreal",61
486,"Serdar Tasci",42
487,"Marcelo Díaz",66
488,"André Ayew",71
489,"Winston Reid",55
490,"Lucas Leiva",61
491,"Kevin-Prince Boateng",67
492,"Héctor Moreno",63
493,"Cristian Ansaldi",52
494,"Daniel Wass",64
495,"Coke",74
496,"Andrés Guardado",70
497,"Jonathan dos Santos",59
498,"Ryan Bertrand",52
499,"Jardel",57
500,"Salvatore Sirigu",19
501,"Yohan Cabaye",78
502,"Vitaliy Denisov",31
503,"Dušan Basta",55
504,"Gustavo Cabral",47
505,"Gabriel Paletta",35
506,"Lukasz Fabianski",22
507,"Ben Foster",41
508,"Vedad Ibiševic",77
509,"Andreas Granqvist",79
510,"Héctor Herrera",59
511,"Igor Akinfeev",10
512,"Fernando Belluschi",75
513,"Andriy Pyatov",15
514,"Antonio Mirante",21
515,"Federico Marchetti",22
516,"James Milner",83
517,"Michel Vorm",41
518,"Daniel Baier",62
519,"Atiba Hutchinson",76
520,"Mehmet Topal",68
521,"Bastian Schweinsteiger",77
522,"René Adler",21
523,"Jérémy Toulalan",56
524,"Phil Jagielka",68
525,"Stefano Sorrentino",20
526,"Robin van Persie",84
527,"Gareth Barry",72
528,"Francesco Totti",86
529,"Gianluigi Donnarumma",24
530,"Nélson Semedo",38
531,"Florin Andone",74
532,"Sergej Milinkovic-Savic",38
533,"Omar Al Soma",74
534,"Petros",58
535,"Victor Nilsson Lindelöf",55
536,"Naby Keïta",58
537,"Tiémoué Bakayoko",45
538,"Mahmoud Dahoud",55
539,"Rúben Semedo",38
540,"Rafa",59
541,"Dani García",58
542,"Lisandro López",48
543,"Ángel Correa",55
544,"Andreas Christensen",38
545,"Nabil Bentaleb",69
546,"Stanislav Kritsyuk",14
547,"Divock Origi",65
548,"Max Meyer",60
549,"Gayà",52
550,"Marco Benassi",51
551,"Pedro Santos",65
552,"Elseid Hysaj",40
553,"João Cancelo",46
554,"Alessio Romagnoli",34
555,"Piotr Zielinski",51
556,"Bruno Peres",59
557,"Ricardo Pereira",54
558,"Óliver Torres",65
559,"Filip Kostic",67
560,"Emre Can",60
561,"Matthias Ginter",67
562,"Luciano Vietto",69
563,"Arrizabalaga",24
564,"Maximilian Arnold",59
565,"Alassane Pléa",63
566,"Denis Cheryshev",64
567,"Edin Višca",75
568,"Bernard",57
569,"Daniele Baselli",71
570,"Arkadiusz Milik",79
571,"Bernat",53
572,"Šime Vrsaljko",52
573,"Eric Botteghin",52
574,"John Stones",37
575,"Jannik Vestergaard",43
576,"Simone Zaza",80
577,"Sergi Darder",55
578,"Fernando",61
579,"Memphis Depay",66
580,"Jesé",68
581,"Thomas Meunier",65
582,"Eric Dier",70
583,"Federico Fernández",42
584,"Nicola Sansone",66
585,"Gastón Ramírez",73
586,"Faouzi Ghoulam",76
587,"Gabriel",51
588,"Vladimír Darida",74
589,"Cédric",60
590,"Lorenzo Tonelli",35
591,"Benjamin Lecomte",20
592,"Lucas Digne",58
593,"Paco Alcácer",71
594,"Heung Min Son",71
595,"Vicente Gómez",46
596,"Emre Çolak",72
597,"André André",86
598,"Dušan Tadic",80
599,"Danilo",67
600,"Pablo Sarabia",61
601,"Alex Oxlade-Chamberlain",69
602,"Marco Höger",74
603,"Florian Lejeune",43
604,"Giannelli Imbula",29
605,"Nicolás Lodeiro",76
606,"Daniel Caligiuri",79
607,"Jeffrey Bruma",39
608,"Willian José",80
609,"Wahbi Khazri",75
610,"Keko",66
611,"Gil",42
612,"Martin Braithwaite",73
613,"Jaume Costa",56
614,"Romain Hamouma",72
615,"Escudero",66
616,"Marcos Alonso",64
617,"Holger Badstuber",64
618,"Osvaldo Alonso",66
619,"Juraj Kucka",71
620,"Jeroen Zoet",27
621,"Illarramendi",50
622,"Adem Ljajic",75
623,"Eliaquim Mangala",46
624,"Canales",66
625,"Balenziaga",44
626,"Rafael",58
627,"Sebastian Rudy",71
628,"Jonathas",78
629,"Aleksandar Dragovic",65
630,"Manuel Lanzini",68
631,"Victor Wanyama",65
632,"Alfred NDiaye",54
633,"Nicolas Nkoulou",50
634,"Volkan Babacan",12
635,"Seydou Doumbia",79
636,"Pavel Mamaev",85
637,"Artem Dzyuba",77
638,"Maurício",52
639,"Yann MVila",68
640,"Kieran Gibbs",63
641,"Mariano",61
642,"Sofiane Feghouli",62
643,"Fernando",54
644,"Claudio Yacob",66
645,"Roberto",19
646,"Moussa Sissoko",68
647,"Maximiliano Pereira",63
648,"Sidnei",58
649,"William Vainqueur",32
650,"Miguel Veloso",73
651,"Fabricio",22
652,"Vieirinha",66
653,"Fabian Johnson",53
654,"Demba Ba",89
655,"Bryan Ruíz",71
656,"Marcus Berg",70
657,"Pontus Wernbloom",66
658,"David Ospina",26
659,"Ignacio Piatti",70
660,"Valter Birsa",76
661,"Matías Fernández",72
662,"Marcano",35
663,"Simon Mignolet",41
664,"Sergio Romero",16
665,"Domenico Criscito",68
666,"Castán",40
667,"Moussa Sow",75
668,"Diego Valeri",71
669,"Nuri Sahin",39
670,"Jonny Evans",44
671,"Danilo",50
672,"Nicolás Pareja",69
673,"Stefan Radu",57
674,"Nicolas Lombaerts",48
675,"Giuseppe Rossi",87
676,"Llorente",70
677,"Bafétimbi Gomis",83
678,"Mathieu Debuchy",66
679,"Ibrahim Afellay",70
680,"Jefferson Farfán",79
681,"Manuel Fernandes",75
682,"Scott Dann",30
683,"Clint Dempsey",71
684,"Michael Bradley",71
685,"Yoann Gourcuff",76
686,"Hilton",64
687,"Pablo Batalla",82
688,"Gaël Clichy",45
689,"Klaas-Jan Huntelaar",56
690,"Luisão",66
691,"Vasiliy Berezutskiy",45
692,"Igor Denisov",62
693,"Alexandr Samedov",81
694,"Jesús Navas",56
695,"Xabi Prieto",84
696,"Javi Fuego",60
697,"Marcelo Barovero",20
698,"Lisandro López",84
699,"Guillermo Ochoa",16
700,"Bruno Alves",75
701,"Burak Yilmaz",79
702,"Diego Benaglio",23
703,"Zoran Tošic",67
704,"Maxwell",59
705,"Kim Källström",70
706,"Tim Howard",33
707,"Denys Boyko",15
708,"Marcus Rashford",74
709,"Miguel Almirón",58
710,"Gabriel Jesus",73
711,"Oyarzabal",47
712,"André Silva",77
713,"Soares",68
714,"Nemanja Radoja",42
715,"Marcos Acuña",43
716,"Jorge Meré",51
717,"Jony",61
718,"Antonio Sanabria",69
719,"Cheikh NDoye",57
720,"José Izquierdo",58
721,"Gonzalo Escalante",64
722,"Theo Bongonda",57
723,"Sebastián Torrico",21
724,"Morales",68
725,"Wendell",46
726,"Andrej Kramaric",79
727,"Davide Zappacosta",59
728,"Jemerson",54
729,"Lucas Alario",70
730,"Duván Zapata",64
731,"Wylan Cyprien",53
732,"Diego Llorente",53
733,"Alex Telles",63
734,"Timo Werner",63
735,"André Hahn",47
736,"Paulo Oliveira",45
737,"Rachid Ghezzal",65
738,"Grimaldo",51
739,"Kevin Wimmer",35
740,"Tiago Volpi",21
741,"Joël Veltman",42
742,"Sead Kolašinac",44
743,"Guido Pizarro",60
744,"Michael Keane",48
745,"Jesse Lingard",65
746,"Bigas",48
747,"Vlad Chiriches",51
748,"Ben Davies",54
749,"Carlos Sánchez",65
750,"Santiago Gentiletti",43
751,"Takashi Inui",51
752,"Raúl Jiménez",86
753,"Joel Campbell",75
754,"Mário Rui",60
755,"MBaye Niang",70
756,"Christoph Kramer",47
757,"Konstantinos Fortounis",80
758,"Joãozinho",83
759,"André Carrillo",68
760,"Rodrigo Moledo",45
761,"Johannes Geis",75
762,"Salif Sané",43
763,"Milan Badelj",68
764,"Agustín Marchesín",14
765,"Lukasz Teodorczyk",65
766,"Nacer Chadli",76
767,"Cristian Tello",56
768,"Bruno",42
769,"Sebastian Rode",51
770,"Nicolai Jørgensen",72
771,"John Guidetti",81
772,"Bruno Martins Indi",38
773,"Jordy Clasie",64
774,"Charles Aránguiz",81
775,"Mathew Ryan",25
776,"Rogelio Funes Mori",70
777,"Aymen Abdennour",51
778,"Mexer",38
779,"Enzo Pérez",82
780,"Teófilo Gutiérrez",72
781,"Dorlan Pabón",80
782,"Charlie Austin",77
783,"Borja Bastón",72
784,"Sergi Enrich",63
785,"Hernán Pérez",48
786,"Thomas Delaney",60
787,"Davy Pröpper",69
788,"Cenk Tosun",82
789,"Koen Casteels",20
790,"Emanuele Giaccherini",69
791,"Allan Nyom",37
792,"Kevin Vogt",53
793,"Fontàs",52
794,"Lamine Sané",33
795,"Gökhan Töre",70
796,"Fredy Montero",77
797,"Celso Borges",77
798,"Michail Antonio",73
799,"Etxeita",30
800,"Julian Baumgartlinger",59
801,"Mehmet Ekici",74
802,"Muniain",61
803,"Susaeta",58
804,"Etrit Berisha",22
805,"Yannick Bolasie",65
806,"Miguel Lopes",50
807,"Senad Lulic",55
808,"Rochina",67
809,"Omar El Kaddouri",70
810,"Denis Glushakov",75
811,"Carlos Zambrano",44
812,"Mame Diouf",75
813,"Onur Kivrak",19
814,"Jefferson Montero",68
815,"Keisuke Honda",76
816,"Bernardo Espinosa",52
817,"Marco Fabián",77
818,"Ivelin Popov",71
819,"Joe Allen",52
820,"Romain Thomas",52
821,"Mehdi Carcela-González",65
822,"Sandro Wagner",64
823,"Pablo Piatti",59
824,"Eric Maxim Choupo-Moting",68
825,"Sebastian Langkamp",38
826,"Neven Subotic",43
827,"Fabian Delph",65
828,"Raúl Bobadilla",68
829,"Troy Deeney",80
830,"Håvard Nordtveit",56
831,"Balázs Dzsudzsák",85
832,"Andy Carroll",73
833,"Borek Dockal",75
834,"Marek Suchý",64
835,"Luiz Adriano",76
836,"Guilherme",12
837,"Ki Sung Yueng",76
838,"Ruud Vormer",79
839,"Etienne Capoue",52
840,"Paul Baysse",50
841,"Cristian Zapata",38
842,"Dieumerci Mbokani",72
843,"Marouane Fellaini",64
844,"Nahuel Guzmán",12
845,"Adrián Ramos",72
846,"Baiano",49
847,"Jan Durica",14
848,"Pedro León",71
849,"Zlatko Junuzovic",70
850,"Luca Antonelli",51
851,"Victor Moses",71
852,"Zurutuza",61
853,"Fraser Forster",22
854,"Lasse Schøne",77
855,"James McArthur",67
856,"Mario Suárez",59
857,"Steven Defour",69
858,"Diego Buonanotte",71
859,"Tim Krul",42
860,"Jack Cork",47
861,"Kenneth Vermeer",30
862,"Rafinha",63
863,"Salvatore Bocchetti",45
864,"Ignazio Abate",48
865,"Rasmus Elm",85
866,"Marco Ruben",74
867,"Jakub Blaszczykowski",70
868,"Adriano",59
869,"Tom Heaton",24
870,"Oleksandr Kucher",33
871,"Karim El Ahmadi",69
872,"Javi García",61
873,"David Abraham",56
874,"Riccardo Montolivo",76
875,"Fabio Quagliarella",77
876,"Jurado",66
877,"Ezequiel Lavezzi",69
878,"Christian Gentner",65
879,"Laurent Ciman",47
880,"Thomas Vermaelen",62
881,"Rodrigo Palacio",79
882,"Per Ciljan Skjelbred",55
883,"Ashley Young",65
884,"Mark Noble",88
885,"Aaron Lennon",62
886,"Christophe Jallet",71
887,"Sergey Ryzhikov",22
888,"Soldado",79
889,"Oscar Wendt",65
890,"Gökhan Gönül",67
891,"José Sosa",75
892,"Ragnar Klavan",44
893,"Willy Caballero",16
894,"Vágner Love",85
895,"Robert Huth",54
896,"Gomes",41
897,"Martín Demichelis",46
898,"Selçuk Inan",88
899,"Alexander Meier",76
900,"Sergey Ignashevich",76
901,"Reyes",72
902,"Nigel de Jong",58
903,"Mathieu Bodmer",76
904,"Joaquín",75
905,"Claudio Pizarro",81
906,"César Navas",50
907,"Alessandro Gamberini",41
908,"Kylian Mbappe Lottin",65
909,"Alban Lafont",16
910,"Renato Sanches",68
911,"Formosandrinho",56
912,"Sidney Pessinho",67
913,"Everticinho",64
914,"Louri Beretta",74
915,"Claudio Coíntra",73
916,"Maikel Catarino",41
917,"Ronaldo Esler",49
918,"Gazzolisco",77
919,"Raphaelito Anjos",23
920,"Mauricio Lemos",41
921,"Dalbert",42
922,"Lorenzo Pellegrini",49
923,"Yeray",61
924,"Vincent Janssen",81
925,"Pablo Fornals",46
926,"Marcos Llorente",53
927,"Martín Campaña",23
928,"Nadiem Amiri",65
929,"Vincent Koziello",60
930,"Vallejo",45
931,"Sener Özbayrakli",44
932,"Franco Cervi",56
933,"Malcom",66
934,"Rick Karsdorp",52
935,"Dani Ceballos",55
936,"Hirving Lozano",64
937,"Yoan Cardinale",23
938,"Badou Ndiaye",65
939,"Alessandro Schöpf",64
940,"Davinson Sánchez",44
941,"Matias Vecino",56
942,"Georges-Kévin Nkoudou",67
943,"Sandro",70
944,"Wesley Hoedt",37
945,"Bastos",50
946,"Wallace",45
947,"Youri Tielemans",76
948,"Alen Halilovic",75
949,"Yuriy Lodygin",22
950,"Silvan Widmer",58
951,"Gino Peruzzi",46
952,"Pablo Pérez",59
953,"Darío Benedetto",66
954,"Iván Marcone",59
955,"Matías Kranevitter",46
956,"Emmanuel Mas",57
957,"Franco Armani",20
958,"Daniel Torres",72
959,"Felipe Pardo",67
960,"Sardar Azmoun",55
961,"Alan Ruiz",66
962,"Diego Rolán",75
963,"Mohamed Elneny",62
964,"Mario Lemina",68
965,"Anderson Talisca",71
966,"Bruno Fernandes",66
967,"Roberto Gagliardini",41
968,"Kerem Demirbay",67
969,"Nicolás Tagliafico",46
970,"Pablo De Blasis",70
971,"Carles Gil",69
972,"Luca Zuffi",61
973,"Juan Fernando Quintero",71
974,"Jonny",46
975,"Otávio",72
976,"Alexander Szymanowski",70
977,"Jhon Córdoba",69
978,"Jozabed",54
979,"Pacheco",23
980,"Sam Larsson",50
981,"Abdul Rahman Baba",42
982,"Andreas Samaris",66
983,"Gabriel",66
984,"Gerard Moreno",73
985,"Erik Durm",55
986,"Tobias Strobl",45
987,"Marçal",43
988,"Leandro Paredes",57
989,"Roberto Torres",78
990,"Mitchell Weiser",58
991,"Dominique Heintz",41
992,"Serge Gnabry",69
993,"Jetro Willems",46
994,"Leonardo Pavoletti",64
995,"Zouhair Feddal",48
996,"Sébastien Haller",86
997,"Lucas Castro",68
998,"Luís Hernández",54
999,"Marcelo",42
1000,"Benjamin Mendy",40
1001,"Willi Orban",41
1002,"Rubén Pardo",69
1003,"Luís Neto",47
1004,"Jores Okore",33
1005,"Tomáš Vaclík",13
1006,"Zé Luís",75
1007,"Pavel Kaderábek",54
1008,"Tonny Vilhena",53
1009,"Terence Kongolo",42
1010,"Leonardo Bittencourt",61
1011,"Álvaro",36
1012,"Stefano Sturaro",68
1013,"Naldo",43
1014,"Recio",61
1015,"Valentin Eysseric",71
1016,"Ahmed Musa",69
1017,"Jordan Veretout",77
1018,"David López",50
1019,"Ciprian Tatarusanu",16
1020,"Ladislav Krejcí",67
1021,"Aïssa Mandi",35
1022,"Ismaily",51
